"Duration","Morning","Afternoon","Evening","Night","Weekday","Weekend","Male","Age","cluster"
685,0,0,1,0,1,0,1,60,1
628,0,0,1,0,1,0,1,25,1
385,0,0,1,0,1,0,0,29,1
653,0,0,1,0,1,0,0,26,1
375,0,0,1,0,1,0,0,55,1
471,0,0,1,0,1,0,1,36,1
377,0,0,1,0,1,0,1,24,1
312,0,0,1,0,1,0,1,55,1
408,0,0,1,0,1,0,0,32,1
470,0,0,1,0,1,0,1,27,1
1828,0,0,1,0,1,0,0,33,1
924,0,0,1,0,1,0,0,50,1
1525,0,0,1,0,1,0,1,36,1
532,0,0,1,0,1,0,0,27,1
658,0,0,1,0,1,0,1,27,1
812,0,0,1,0,1,0,0,27,1
384,0,0,1,0,1,0,1,29,1
551,0,0,1,0,1,0,0,21,1
332,0,0,1,0,1,0,1,59,1
439,0,0,1,0,1,0,1,23,1
1039,0,0,1,0,1,0,1,31,1
1191,0,0,1,0,1,0,1,22,1
492,0,0,1,0,1,0,1,65,1
415,0,0,1,0,1,0,1,45,1
347,0,0,1,0,1,0,1,59,1
381,0,0,1,0,1,0,0,26,1
501,0,0,1,0,1,0,1,30,1
845,0,0,1,0,1,0,1,27,1
467,0,0,1,0,1,0,1,55,1
971,0,0,1,0,1,0,1,24,1
511,0,0,1,0,1,0,1,32,1
1931,0,0,1,0,1,0,1,20,1
364,0,0,1,0,1,0,0,35,1
1089,0,0,1,0,1,0,0,35,1
529,0,0,1,0,1,0,1,25,1
498,0,0,1,0,1,0,1,40,1
1606,0,0,1,0,1,0,1,28,1
550,0,0,1,0,1,0,1,36,1
1162,0,0,1,0,1,0,1,39,1
367,0,0,1,0,1,0,1,27,1
1446,0,0,1,0,1,0,1,37,1
1118,0,0,1,0,1,0,1,25,1
453,0,0,1,0,1,0,1,35,1
495,0,0,1,0,1,0,1,26,1
2390,0,0,1,0,1,0,1,45,1
1064,0,0,1,0,1,0,1,23,1
661,0,0,1,0,1,0,0,27,1
1177,0,0,1,0,1,0,1,38,1
1067,0,0,1,0,1,0,1,44,1
362,0,0,1,0,1,0,1,53,1
1147,0,0,1,0,1,0,1,29,1
189,0,0,1,0,1,0,1,33,1
250,0,0,1,0,1,0,1,36,1
1549,0,0,1,0,1,0,1,30,1
589,0,0,1,0,1,0,1,33,1
1659,0,0,1,0,1,0,1,25,1
634,0,0,1,0,1,0,0,32,1
768,0,0,1,0,1,0,0,35,1
930,0,0,1,0,1,0,1,25,1
1221,0,0,1,0,1,0,1,21,1
634,0,0,1,0,1,0,0,36,1
332,0,0,1,0,1,0,1,28,1
303,0,0,1,0,1,0,1,35,1
843,0,0,1,0,1,0,1,32,1
163,0,0,1,0,1,0,1,28,1
1425,0,0,1,0,1,0,1,31,1
576,0,0,1,0,1,0,1,27,1
247,0,0,1,0,1,0,1,27,1
352,0,0,1,0,1,0,1,24,1
737,0,0,1,0,1,0,1,26,1
347,0,0,1,0,1,0,1,21,1
1103,0,0,1,0,1,0,1,30,1
604,0,0,1,0,1,0,1,39,1
1645,0,0,1,0,1,0,1,30,1
851,0,0,1,0,1,0,0,30,1
486,0,0,1,0,1,0,1,29,1
1048,0,0,1,0,1,0,1,26,1
759,0,0,1,0,1,0,1,26,1
638,0,0,1,0,1,0,1,30,1
789,0,0,1,0,1,0,1,49,1
345,0,0,1,0,1,0,1,43,1
1326,0,0,1,0,1,0,1,42,1
654,0,0,1,0,1,0,0,54,1
13,0,0,1,0,1,0,1,34,1
656,0,0,1,0,1,0,1,25,1
705,0,0,1,0,1,0,0,27,1
774,0,0,1,0,1,0,0,27,1
29,0,0,1,0,1,0,1,35,1
441,0,0,1,0,1,0,1,24,1
934,0,0,1,0,1,0,1,26,1
550,0,0,1,0,1,0,1,24,1
236,0,0,1,0,1,0,0,21,1
713,0,0,1,0,1,0,1,46,1
942,0,0,1,0,1,0,0,34,1
276,0,0,1,0,1,0,1,33,1
481,0,0,1,0,1,0,1,29,1
914,0,0,1,0,1,0,1,28,1
480,0,0,1,0,1,0,1,24,1
114,0,0,1,0,1,0,1,38,1
502,0,0,1,0,1,0,0,35,1
739,0,0,1,0,1,0,1,25,1
1307,0,0,1,0,1,0,1,27,1
614,0,0,1,0,1,0,1,27,1
902,0,0,1,0,1,0,1,25,1
395,0,0,1,0,1,0,1,31,1
277,0,0,1,0,1,0,1,24,1
947,0,0,1,0,1,0,1,51,1
499,0,0,1,0,1,0,0,24,1
312,0,0,1,0,1,0,1,35,1
595,0,0,1,0,1,0,0,38,1
332,0,0,1,0,1,0,1,32,1
787,0,0,1,0,1,0,1,25,1
544,0,0,1,0,1,0,0,25,1
365,0,0,1,0,1,0,1,34,1
268,0,0,1,0,1,0,1,30,1
746,0,0,1,0,1,0,1,30,1
1004,0,0,1,0,1,0,1,29,1
791,0,0,1,0,1,0,1,36,1
704,0,0,1,0,1,0,0,35,1
804,0,0,1,0,1,0,1,39,1
2444,0,0,1,0,1,0,1,28,1
1293,0,0,1,0,1,0,1,27,1
172,0,0,1,0,1,0,1,29,1
1146,0,0,1,0,1,0,0,44,1
270,0,0,1,0,1,0,1,33,1
1447,0,0,1,0,1,0,1,23,1
455,0,0,1,0,1,0,1,35,1
1010,0,0,1,0,1,0,0,32,1
332,0,0,1,0,1,0,1,30,1
174,0,0,1,0,1,0,0,28,1
2072,0,0,1,0,1,0,1,41,1
557,0,0,1,0,1,0,1,36,1
664,0,0,1,0,1,0,1,36,1
364,0,0,1,0,1,0,1,28,1
250,0,0,1,0,1,0,1,42,1
1023,0,0,1,0,1,0,1,31,1
246,0,0,1,0,1,0,1,44,1
1063,0,0,1,0,1,0,1,37,1
490,0,0,1,0,1,0,1,35,1
395,0,0,1,0,1,0,1,37,1
88,0,0,1,0,1,0,1,31,1
116,0,0,1,0,1,0,1,28,1
1273,0,0,1,0,1,0,0,34,1
993,0,0,1,0,1,0,1,29,1
30,0,0,1,0,1,0,1,20,1
328,0,0,1,0,1,0,1,33,1
487,0,0,1,0,1,0,0,36,1
566,0,0,1,0,1,0,1,47,1
865,0,0,1,0,1,0,0,25,1
695,0,0,1,0,1,0,1,53,1
1234,0,0,1,0,1,0,0,27,1
182,0,0,1,0,1,0,1,45,1
770,0,0,1,0,1,0,0,35,1
778,0,0,1,0,1,0,0,38,1
255,0,0,1,0,1,0,1,21,1
946,0,0,1,0,1,0,1,36,1
205,0,0,1,0,1,0,1,27,1
10,0,0,1,0,1,0,1,35,1
757,0,0,1,0,1,0,1,59,1
790,0,0,1,0,1,0,1,37,1
308,0,0,1,0,1,0,1,30,1
639,0,0,1,0,1,0,1,40,1
892,0,0,1,0,1,0,1,28,1
739,0,0,1,0,1,0,1,31,1
1161,0,0,1,0,1,0,1,28,1
805,0,0,1,0,1,0,1,28,1
522,0,0,1,0,1,0,1,24,1
1092,0,0,1,0,1,0,1,37,1
902,0,0,1,0,1,0,0,42,1
751,0,0,1,0,1,0,1,26,1
423,0,0,1,0,1,0,1,25,1
281,0,0,1,0,1,0,1,36,1
177,0,0,1,0,1,0,1,24,1
847,0,0,1,0,1,0,1,34,1
654,0,0,1,0,1,0,1,25,1
653,0,0,1,0,1,0,1,33,1
512,0,0,1,0,1,0,0,24,1
318,0,0,1,0,1,0,1,28,1
873,0,0,1,0,1,0,1,33,1
267,0,0,1,0,1,0,1,55,1
565,0,0,1,0,1,0,1,50,1
